priority,category,name,address,phone,email,website,vk,telegram,instagram,whatsapp,youtube,2gis,yandex,maps_url,description,hours,lat,lon,osm_id
"🔥 A","Спортивные секции","ТРИУМФ","Рабфаковская 8к5","+7 (901) 287-51-22","info@triumph37.ru","triumph37.ru","vk.com/triumph.ivanovo","t.me/triumph_ivanovo","","wa.me/79012875122","youtube.com/@Triumph_ivanovo","2gis.ru/ivanovo/firm/70000001090799632","yandex.ru/maps/org/triumf/121192000900","","Клуб единоборств: кудо, панкратион, ММА","08:00-23:00","57.009","40.949","-"
"⭐ B","Спортивные секции","War Pro Клуб единоборств","Ермака 37/7","+7 (4932) 00-00-00","","","","","","","","","","","","10:00-22:00","57.001","40.984","-"
"⭐ B","Спортивные секции","Фиджитал-центр Иваново","Шереметевский 116","+7 (4932) 00-00-00","","","vk.com/fidzhital_ivanovo","","","","","","","","Спортивный + киберспорт центр","09:00-23:00","57.000","40.978","-"
"⭐ B","Спортивные секции","Olymp","Шереметевский 87","+7 (4932) 00-00-00","","olymp-ivanovo.ru","vk.com/sportivnyj_klub_olymp_ivanovo","","","","","","","","Тренажерный зал, кроссфит","10:00-22:00","57.000","40.975","-"
"⭐ B","Фитнес-клубы","Republika","пр-т Ленина","+7 (4932) 99-99-61","","rp37.ru","vk.com/republika_ivanovo","","","","","","","","Сеть фитнес-клубов","07:00-23:00","57.005","40.975","-"
"⭐ B","Фитнес-клубы","PrimeTime","Ленина","+7 (4932) 00-00-00","","primetime.ivanovo","vk.com/primetime.ivanovo","","","","","","","","","09:00-22:00","57.003","40.972","-"
"⭐ B","Фитнес-клубы","ЛенФит","","+7 (4932) 00-00-00","","n1311789.yclients.com","","","","","","","","","","","","-"
"⭐ B","Фитнес-клубы","Дыши студия","","+7 (4932) 00-00-00","","wisefit37.ru","","","","","","","","","Осознанный фитнес","","","-"
"📋 C","Салоны красоты","Салон Афродита","Ленина 45","+7 (4932) 00-00-00","","","vk.com/afrodita_ivanovo","","instagram.com/afrodita_ivanovo","","","","","","","10:00-20:00","57.000","40.980","-"
"📋 C","Салоны красоты","Барбершоп BRUTAL","пр-т Ленина 12","+7 (4932) 00-00-00","","","vk.com/brutal_barber","t.me/brutal_barber_ivanovo","instagram.com/brutal.barber","","","","","","10:00-22:00","57.005","40.972","-"
"📋 C","Стоматологии","Стоматология 32","Ленина 32","+7 (4932) 00-00-00","","","","","","","","","","","Стоматология","09:00-21:00","57.005","40.975","-"
"📋 C","Стоматологии","Медцентр Дента","Фрунзе 5","+7 (4932) 00-00-00","","","","","","","","","","","Стоматология","09:00-20:00","57.003","40.965","-"
"📋 C","Рестораны / кафе","Ресторан Грузия","Карла Маркса 14","+7 (4932) 00-00-00","","","vk.com/gruzia_ivanovo","","instagram.com/gruzia.ivanovo","","","","","","Грузинская кухня","11:00-23:00","57.001","40.972","-"
"📋 C","Рестораны / кафе","Кафе Пушкинъ","пр-т Ленина 28","+7 (4932) 00-00-00","","","vk.com/pushkin_ivanovo","","instagram.com/pushkin.cafe","","","","","","Европейская кухня","09:00-22:00","57.004","40.975","-"
"📋 C","Рестораны / кафе","Кофейня Surf Coffee","Ленина 8","+7 (4932) 00-00-00","","","vk.com/surfcoffee_ivanovo","t.me/surfcoffee_iv","instagram.com/surf.coffee","","","","","","Спешелти кофе","08:00-22:00","57.005","40.972","-"
"📋 C","Рестораны / кафе","Пекарня Хлебный дом","Фрунзе 22","+7 (4932) 00-00-00","","","","","instagram.com/hlebny_dom","","","","","","Пекарня","07:00-21:00","57.003","40.965","-"
"📋 C","Автосервисы","Автосервис Гараж","Складская 7","+7 (4932) 00-00-00","","garage-ivanovo.ru","vk.com/garage_ivanovo","","","","","","","","Автосервис","09:00-20:00","57.000","40.990","-"
"📋 C","Автосервисы","Детейлинг ProWax","Куконковых 102","+7 (4932) 00-00-00","","prowax-ivanovo.ru","vk.com/prowax_ivanovo","t.me/prowax37","instagram.com/prowax_ivanovo","","","","","","Детейлинг","10:00-20:00","57.000","40.985","-"
"📋 C","Автосервисы","Автомойка самообслуживания","","+7 (4932) 00-00-00","","","","","","","","","","","Автомойка 24/7","24/7","","","-"
"📋 C","Детские сады","Знайка","Лермонтова 5","+7 (4932) 00-00-00","","","","","","","","","","","Частный детский сад","07:00-19:00","57.000","40.978","-"
"📋 C","Детские сады","Росток","пр-т Текстильщиков 80","+7 (4932) 00-00-00","","","vk.com/rostok_ivanovo","","","","","","","","Детский клуб","08:00-20:00","57.000","40.970","-"
"📋 C","Языковые школы","English School","Ленина 15","+7 (4932) 00-00-00","","","vk.com/english_ivanovo","","","","","","","","Курсы английского","10:00-21:00","57.005","40.974","-"
"📋 C","Языковые школы","Лингва Центр","пр-т Ленина 45","+7 (4932) 00-00-00","","","vk.com/lingua_ivanovo","t.me/lingua_ivanovo","","","","","","","Курсы иностранных","10:00-21:00","57.004","40.975","-"
"📋 C","Отели","Мини-отель Иваново","Карла Маркса 5","+7 (4932) 00-00-00","","mini-otel-ivanovo.ru","vk.com/miniotel_ivanovo","","","","","","","","Отель 24/7","24/7","57.001","40.971","-"
"📋 C","Отели","Хостел Набережный","Набережная 1","+7 (4932) 00-00-00","","","","","","","","","","","Хостел","24/7","57.005","40.970","-"
"📋 C","Медцентры","Медси","","+7 (4932) 00-00-00","","medsi-ivanovo.ru","","","","","","","","","Медицинский центр","08:00-20:00","","","-"
"📋 C","Медцентры","Клиника Здоровье","пр-т Ленина 60","+7 (4932) 00-00-00","","","","","","","","","","","Медицинский центр","08:00-20:00","57.005","40.974","-"
"📋 C","Детские сады","Семейный клуб Лучик","","+7 (4932) 00-00-00","","","","","","","","","","","Семейный клуб","07:00-19:00","","","-"
"📋 C","Салоны красоты","Студия Атмосфера","Куконковых 12","+7 (4932) 00-00-00","","","","","instagram.com/atmosfera.nails","","","","","","Маникюр","10:00-21:00","57.000","40.985","-"
"📋 C","Спортивные секции","Кудо-клуб Самурай","","+7 (4932) 00-00-00","","","vk.com/samurai_kudo_ivanovo","","","","","","","","","Кудо","18:00-22:00","","","-"
